@relation SerieA

@attribute homeTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute awayTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute homeGoalFT numeric
@attribute awayGoalFT numeric
@attribute resultFT {H,A}
@attribute homeGoalHT numeric
@attribute awayGoalHT numeric
@attribute homeShot numeric
@attribute awayShot numeric
@attribute homeShotTarget numeric
@attribute awayShotTarget numeric
@attribute homeCorner numeric
@attribute awayCorner numeric
@attribute homeFouls numeric
@attribute awayFouls numeric
@attribute homeYellow numeric
@attribute awayYellow numeric
@attribute homeRed numeric
@attribute awayRed numeric
@attribute differenceGoalHT numeric
@attribute pctHShot numeric

@data
Napoli,Sampdoria,2,1,H,0,1,23,9,9,2,9,3,15,16,1,0,0,1,-1,0.71875
Chievo,Atalanta,1,4,A,0,3,7,18,2,7,4,3,21,14,1,1,0,0,-3,0.28
Genoa,Roma,0,1,A,0,1,10,16,4,3,2,8,12,13,2,4,0,0,-1,0.384615
Juventus,Bologna,3,0,H,2,0,12,7,4,2,6,2,11,13,1,2,0,0,2,0.631579
Lazio,Crotone,1,0,H,0,0,22,2,5,1,14,0,15,11,2,2,0,0,0,0.916667
Milan,Cagliari,1,0,H,0,0,29,7,4,1,11,3,6,12,0,1,0,1,0,0.805556
Sassuolo,Torino,0,0,H,0,0,7,24,2,1,1,8,17,18,2,3,0,0,0,0.225806
Udinese,Inter,1,2,A,1,1,12,9,3,4,3,7,19,12,3,2,0,0,0,0.571429
Crotone,Bologna,0,1,A,0,0,17,14,6,7,6,5,14,14,2,4,0,0,0,0.548387
Inter,Chievo,3,1,H,0,1,31,5,14,4,12,2,12,16,0,3,0,0,-1,0.861111
Cagliari,Genoa,4,1,H,2,1,19,12,12,4,3,14,8,13,3,2,1,0,1,0.612903
Fiorentina,Juventus,2,1,H,1,0,17,11,6,4,3,7,22,20,3,5,0,0,1,0.607143
Lazio,Atalanta,2,1,H,1,1,21,9,5,3,7,3,17,18,5,2,0,0,0,0.7
Napoli,Pescara,3,1,H,0,0,23,8,10,2,6,2,10,14,1,3,0,0,0,0.741935
Sampdoria,Empoli,0,0,H,0,0,16,14,2,2,6,8,8,9,3,3,0,0,0,0.533333
